Product Name,Current Price,Original Price,Image URL,Stock,item_id
Dr Martens Mary Jane Polley T-Bar Black Smooth - 36,Rp2.690.000,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/9/27/2ca31766-a2bb-4a9f-b433-123568d11867.png.webp?ect=4g,Sisa 3,1
"Sepatu Boots Fashion wanita anti air kekinian style - HITAM, 36",Rp69.900,Rp139.800,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/45f94ba0b20c411f9097be8bea70fcd5~.jpeg.webp?ect=4g,Sisa 8,2
"Sepatu BOOTS VINTAGE MARTENS DE5520 Tinggi 3cm - Black/Brown - Brown, 36",Rp139.500,Rp155.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/73962802b0144b5d8d8cc41b980adb0c~.jpeg.webp?ect=4g,19,3
"sepatu A30 mts/pt wanita jumbo d standat - kuning, 36",Rp69.000,-,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/1234afcb15cc4125bb2826a3af0f2a94~.jpeg.webp?ect=4g,50,4
"Blow Gia mary jane flats knit BLWF 0040 - Beige/Black, 41",Rp397.000,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/3/110ceecf-618c-41a5-baa0-38c95670a4ce.jpg.webp?ect=4g,155,5
"URBAN&CO Kumiko Sepatu Flat Shoes Wanita - Pink, 35",Rp159.900,Rp499.900,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/1/25/fce239f0-b29a-463a-a02b-8d045b27c256.jpg.webp?ect=4g,17,6
"Clavio Loura Flatshoes Wanita Tanpa Hak Hitam Shoes - Black, 36",Rp54.500,Rp115.965,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/47ab984894224964878e2daecde87b6c~.jpeg.webp?ect=4g,1.723,7
"EASE - CASSANDRA Sepatu Wanita Tipe Mules - BLACK, 36",Rp79.499,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/c56bc53922a24220933067f5f531d071~.jpeg.webp?ect=4g,2.885,8
"Bozka sepatu wanita moccasin loafer KMH91 arch support shoes black - black, 36",Rp188.000,Rp358.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/fd85305b562e4458ab6143a16a624ea4~.jpeg.webp?ect=4g,47,9
"Mar & Ma - New Zora Women Shoes - Black, 36",Rp254.000,Rp325.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/c18fe0116f1a485cb148b36f4e9edb5e~.jpeg.webp?ect=4g,Sisa 5,10
"NICHOLAS EDISON FLAT AUDREY BLACK SEPATU LOAFERS HITAM WANITA - Hitam, 36",Rp315.921,Rp399.900,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/4/25/bbf9463e-2cf3-4620-883c-2a3c50a768c6.jpg.webp?ect=4g,50,11
"Dluna - Elly Flatshoes Model Jaring Tali Pita Empuk dan Nyaman || Flatshoes Wanita Jaring | Sepatu Kerja Wanita - Cream, 36",Rp125.000,Rp250.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/df804c70bab3497cb3b948016d7f82d7~.jpeg.webp?ect=4g,17,12
"Sepatu Wanita Loafers Gio Saverino Flatshoes Terbaru - CREAM, 36",Rp179.700,Rp599.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/4/25/4b8cd52a-8006-4480-b9c9-066701dcca7e.png.webp?ect=4g,928,13
"Carvil Sandal Gunung CARLITA-GL Flat Wanita - TERACOTA BEIGE, 36",Rp70.000,Rp185.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/4e32cd5763d64793ae306df682bfc37f~.jpeg.webp?ect=4g,Sisa 3,14
"[ ORIGINAL ] YONGKI KOMALADI HEELS OL-YSL7057-22 LADIES Hitam Sandal Wanita - HITAM, 37",Rp129.000,Rp499.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/f77dcdc9a4d246f59dcc58071237d7c5~.jpeg.webp?ect=4g,Sisa 8,15
"Sandal wanita gesver heels 5cm Kode CLARISSA - HITAM, 37",Rp31.000,Rp47.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/c7641be662594d33ab36a18ba6c50d52~.jpeg.webp?ect=4g,436,16
"GTL.Shop - Adiva Sendal heels Mules Wanita terbaru 3CM - HITAM, 37",Rp57.400,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/2d354888482a4564b9497012441e56b9~.jpeg.webp?ect=4g,384,17
"Aerostreet 36-41 Celinie Natural Cherry - Sandal Slip On BABAA - Natural Cherry, 41",Rp59.900,Rp119.800,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/980bd2ce6e9f4a6494d9533b54e2469d~.jpeg.webp?ect=4g,124,18
Insole Sepatu Wanita Sol Super Empuk Anti Kaki Pegal Kaus Kaki Bow - Bow-Hitam,Rp21.500,-,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/2/28/fdb64021-b6d3-46af-9a32-bc78a85b9820.jpg.webp?ect=4g,987,19
"Kanky Story Kogyuku - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa - All Black, 37",Rp256.212,Rp258.800,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/0031d5344d774a44b466dfdf6e3019cb~.jpeg.webp?ect=4g,Sisa 8,20
TOMKINS Axel  - Putih Merah Muda Sepatu Olahraga Wanita - Ukuran 36,Rp219.000,Rp469.000,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/11/11/de4accf3-c67a-400b-9774-33b6d5e775d5.jpg.webp?ect=4g,134,21
"UNERD WOMEN | SWIFT MOVE | Sepatu Running Wanita - Frosty Mint, 37",Rp339.000,Rp678.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/6cfecfc549314bee8bea913a48203154~.jpeg.webp?ect=4g,Habis,22
"Buenor - Sandal Wanita Wedges Elegan Polos Karet - KHAKI, 36/37",Rp49.875,Rp125.900,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/2f5bcadc5a2c448fb51c445719b8e70b~.jpeg.webp?ect=4g,3.446,23
"Comanier Sandal Kodok Dewasa Wanita Classic Bae Clog Sepatu Sendal Baim Wedges Platform EVA Square Toe - Hitam, 24-25",Rp35.899,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/23f420e92f024fe9bda14a9349bcac6d~.jpeg.webp?ect=4g,538,24
Aerostreet 40-43 Active Low Hitam Army Kuning - Sepatu Sneaker Boots - 40,Rp264.502,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/8322717612f343329f5de1f720685c90~.jpeg.webp?ect=4g,140,25
"Warka SYON - Sepatu Pria Formal Sneakers Original Muda Kekinian Tali Hitam Bisnis Shoes Karet Casual Pantofel - Hitam, 39",Rp161.200,Rp276.276,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/fd701fb10e83464d99b7cc455ec52c15~.jpeg.webp?ect=4g,1.543,26
"Moofeat Leyster - Sepatu Penny Loafers Pria Wanita Full Black - Spanish Red, 37",Rp165.000,Rp350.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/7/22/b07f1458-7069-4124-ae75-b24aa7da7dd8.jpg.webp?ect=4g,Sisa 3,27
"[ ORIGINAL ] YONGKI KOMALADI OL-EHR-12 HITAM Shoes - Hitam, 39",Rp169.000,Rp799.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/62e4b1db76c34bb09fd451cf2c442ebb~.jpeg.webp?ect=4g,Sisa 9,28
"Sepatu Capung Dragonfly Ori Falcon Putih Sepatu Pria Murah + K Kaki - Putih / K kaki, 38",Rp119.900,Rp139.900,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/2/12/b3bcccd6-8099-48fa-9f5d-aa0a66144c7d.jpg.webp?ect=4g,Sisa1,29
"Yongki Komaladi - OL-EUS-1502 - Hitam Shoes Pria Kerja Pantofel - Hitam, 40",Rp179.000,Rp599.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/be399cc823264dfba9568933c43daf60~.jpeg.webp?ect=4g,39,30
