Product Name,Current Price,Original Price,Image URL,Stock,item_id,discount
ESQA Wonder Crush Serum Liquid Blush On - Flirty Summer,89000,110000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/1/31/646cdc4a-afea-441f-9674-9af9da6ea636.jpg.webp?ect=4g,294,25,19.09
Sea Makeup Vibrant Flushed Liquid Blush On Cair - Orchid Dusk Pink Mauve - Pewarna Wajah - Dahlia Sunset,68000,99000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/2b9eaae69b44469695d9d94d0ba0436f~.jpeg.webp?ect=4g,2981,26,31.31
"[BEST SELLER] Judydoll Blush Powder - Blush ungu cool Tone, perona pipi natural untuk daily, mudah di blend dan tahan lama - #02 Pink Rose",63480,69000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/bea5458491144644a86bc1ccc9a44fa3~.jpeg.webp?ect=4g,361,27,8.0
WARDAH Colorfit Cream Blush - Formula ringan dan teksturnya creamy - Makeup - 01 SAND CORAL,53010,0,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/2f29a6c1fc344d14b95b8c8c189c9285~.jpeg.webp?ect=4g,58,28,0.0
Viva FIn Touch (BLUSH ON) Finishing Touch - Tersedia 3 Varian Warna - No 03,6475,8750,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/9366a7a7879344d6b33dc6b6d21e6d59~.jpeg.webp?ect=4g,68,29,26.0
Hanasui Perfect Cheek Blush & Go Powder - Blush On Wajah - 01 Pink,31172,50000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/3661c792276f425a9e5093b9f962e7e7~.jpeg.webp?ect=4g,88,30,37.66
Glycore 10% Cream Membantu Menyamarkan Noda Hitam pada Wajah (10 Gram),26600,36200,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/12/79f25781-7863-4ecf-a32c-e1b1474eb586.png.webp?ect=4g,1162,31,26.52
NEW! Emina Bright Stuff Moisturizing Cream 20 ml - Pelembab Wajah Mencerahkan - 20 ml,24500,29150,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/9a5fdc2ceedd4dfba146ef981ad3a6a3~.jpeg.webp?ect=4g,204,32,15.95
Wardah C-Defense DD Cream 20 ml - Cerah dan Warna Kulit Merata - Light,27950,32500,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/8db0ac2ce1f14be68973a27064d3471c~.jpeg.webp?ect=4g,160,33,14.0
MS GLOW - WHITENING DAY CREAM - 10gr - DAY CREAM NEW,72000,150000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/4a6eeb0c3c884827b03a0d013c8d86a3~.jpeg.webp?ect=4g,9,34,52.0
